city_name,latitude,longitude,capital,population,country_id
Tokyo,35.6897,139.6922,1,37732000,72
Osaka,34.6939,135.5022,0,15126000,72
Nagoya,35.1833,136.9,0,9197000,72
Yokohama,35.4442,139.6381,0,3757630,72
Fukuoka,33.5833,130.4,0,2286000,72
Sapporo,43.0667,141.35,0,1961690,72
Kawasaki,35.5167,139.7,0,1539522,72
Kobe,34.69,135.1956,0,1521707,72
Kyoto,35.0117,135.7683,0,1464890,72
Saitama,35.8614,139.6456,0,1325843,72
Hiroshima,34.3914,132.4519,0,1198021,72
Sendai,38.2682,140.8694,0,1061177,72
Chiba,35.6073,140.1064,0,981738,72
Setagaya,35.6466,139.6532,0,940509,72
Kitakyushu,33.8833,130.8833,0,935084,72
Sakai,34.5733,135.4831,0,824408,72
Niigata,37.9161,139.0364,0,790646,72
Hamamatsu,34.7108,137.7275,0,788211,72
Nerima,35.7355,139.6517,0,742463,72
Ota-ku,35.5613,139.716,0,737187,72
Kumamoto,32.8031,130.7078,0,738385,72
Sagamihara,35.5667,139.3667,0,722973,72
Okayama,34.65,133.9167,0,720043,72
Edogawa,35.7066,139.8683,0,697932,72
Adachi,35.7749,139.8044,0,682326,72
Shizuoka,34.9756,138.3828,0,685589,72
Honcho,35.6946,139.9826,0,641499,72
Kawaguchi,35.8077,139.7241,0,593353,72
Itabashi,35.7512,139.7093,0,581337,72
Suginami-ku,35.6995,139.6364,0,583609,72
Kagoshima,31.6,130.55,0,593754,72
Hachioji,35.6664,139.316,0,575721,72
Koto-ku,35.6728,139.8173,0,523117,72
Himeji,34.8167,134.6833,0,527596,72
Utsunomiya,36.5551,139.8826,0,518197,72
Matsuyama,33.8333,132.7667,0,506743,72
Matsudo,35.7876,139.9032,0,497514,72
Ichikawa,35.7219,139.9311,0,496657,72
Higashi-osaka,34.6794,135.6008,0,490819,72
Nishinomiya-hama,34.7376,135.3416,0,487010,72
Oita,33.2333,131.6067,0,477186,72
Kurashiki,34.5833,133.7667,0,474862,72
Katsushika-ku,35.7434,139.8472,0,453410,72
